date,bike_rents,temp_actual(C),temp_feeling(C),humidity,wind_speed,weather_condition,holiday(y/n),weekend(y/n),season
2015-04-04,12864,8.87,7.02,77.7,12.26,partly cloudy,False,True,spring
2015-04-05,19369,8.79,8.27,71.12,7.02,partly cloudy,False,True,spring
2015-04-06,25439,9.25,7.77,73.58,13.35,clear,True,False,spring
2015-04-07,29441,11.08,10.92,68.06,6.6,clear,False,False,spring
2015-04-08,30643,11.75,11.38,73.96,11.02,clear,False,False,spring
2015-04-09,31520,10.5,9.56,79.31,10.56,clear,False,False,spring
2015-04-10,32052,13.04,12.54,68.0,11.92,clear,False,False,spring
2015-04-11,25113,11.62,11.12,58.92,21.69,clear,False,True,spring
2015-04-12,29204,11.79,10.92,58.65,20.21,clear,False,True,spring
2015-04-13,28048,11.6,11.17,68.77,9.73,partly cloudy,False,False,spring
2015-04-14,34519,15.65,14.9,60.77,17.17,clear,False,False,spring
2015-04-15,37470,17.54,17.21,51.9,14.06,clear,False,False,spring
2015-04-16,30489,11.69,10.9,66.96,19.62,clear,False,False,spring
2015-04-17,29796,10.58,8.92,63.62,23.65,clear,False,False,spring
2015-04-18,29595,9.65,8.15,63.88,22.58,few clouds,False,True,spring
2015-04-19,19736,8.42,6.67,67.81,11.6,partly cloudy,False,True,spring
2015-04-20,32057,11.06,10.44,64.44,13.85,clear,False,False,spring
2015-04-21,34908,11.38,10.85,61.6,12.75,clear,False,False,spring
2015-04-22,32381,10.4,9.48,72.48,16.85,clear,False,False,spring
2015-04-23,32773,10.4,9.02,71.67,13.21,clear,False,False,spring
2015-04-24,32102,13.02,12.69,68.65,14.17,clear,False,False,spring
2015-04-25,25194,14.15,14.15,75.15,18.4,rain,False,True,spring
2015-04-26,19427,9.65,8.29,83.33,11.19,partly cloudy,False,True,spring
2015-04-27,30489,9.27,8.38,55.58,10.48,clear,False,False,spring
2015-04-28,31783,9.71,7.88,53.48,23.04,clear,False,False,spring
2015-04-29,26030,9.85,8.0,71.31,18.65,clear,False,False,spring
2015-04-30,31621,10.75,9.44,57.75,18.29,clear,False,False,spring
2015-05-01,29579,9.08,7.23,64.25,18.88,few clouds,False,False,spring
2015-05-02,22231,9.75,8.44,74.52,21.06,clear,False,True,spring
2015-05-03,21165,14.56,14.5,80.38,21.75,partly cloudy,False,True,spring
2015-05-04,26795,14.6,14.6,67.21,18.81,few clouds,True,False,spring
2015-05-05,26488,14.65,14.65,69.35,31.04,few clouds,False,False,spring
2015-05-06,24438,12.5,12.25,70.54,32.17,rain,False,False,spring
2015-05-07,31144,13.17,13.1,62.31,19.62,few clouds,False,False,spring
2015-05-08,26878,13.08,12.98,71.17,12.1,clear,False,False,spring
2015-05-09,27810,14.81,14.81,59.4,26.27,partly cloudy,False,True,spring
2015-05-10,32226,14.77,14.65,66.58,13.69,few clouds,False,True,spring
2015-05-11,33719,17.33,17.33,64.52,17.25,clear,False,False,spring
2015-05-12,33820,14.56,14.56,53.42,23.23,clear,False,False,spring
2015-05-13,36699,13.75,13.35,56.48,11.67,clear,False,False,spring
2015-05-14,15609,9.9,7.9,84.96,21.38,rain,False,False,spring
2015-05-15,32343,11.79,11.02,69.54,14.06,few clouds,False,False,spring
2015-05-16,32526,15.15,15.15,59.88,19.92,clear,False,True,spring
2015-05-17,31323,13.58,13.25,56.4,17.17,clear,False,True,spring
2015-05-18,24288,12.42,11.98,68.29,25.1,few clouds,False,False,spring
2015-05-19,28331,10.92,9.5,63.12,24.27,few clouds,False,False,spring
2015-05-20,30534,11.52,10.46,61.19,18.69,clear,False,False,spring
2015-05-21,34833,14.62,14.02,53.02,15.75,clear,False,False,spring
2015-05-22,33435,15.69,15.4,65.71,13.67,clear,False,False,spring
2015-05-23,23849,14.67,14.67,68.94,15.02,partly cloudy,False,True,spring
2015-05-24,30018,15.79,15.79,64.31,11.48,partly cloudy,False,True,spring
2015-05-25,29502,13.75,13.75,60.88,13.6,few clouds,True,False,spring
2015-05-26,34809,14.92,14.92,60.06,14.6,clear,False,False,spring
2015-05-27,36407,14.79,14.54,56.42,16.69,clear,False,False,spring
2015-05-28,34387,15.04,15.04,49.94,23.21,clear,False,False,spring
2015-05-29,26023,12.38,12.38,64.04,22.21,few clouds,False,False,spring
2015-05-30,29206,13.08,12.42,57.77,17.83,clear,False,True,spring
2015-05-31,14998,13.85,13.85,72.88,22.33,rain,False,True,spring
2015-06-01,27864,12.1,11.44,62.83,23.65,few clouds,False,False,summer
2015-06-02,27939,15.67,15.67,75.02,33.52,partly cloudy,False,False,summer
2015-06-03,35377,16.12,16.12,53.06,17.58,clear,False,False,summer
2015-06-04,39451,17.0,16.83,56.33,12.85,clear,False,False,summer
2015-06-05,34563,19.83,19.83,63.5,19.45,clear,False,False,summer
2015-06-06,32820,15.27,15.23,51.19,23.79,clear,False,True,summer
2015-06-07,35407,15.0,14.92,55.98,12.52,clear,False,True,summer
2015-06-08,32587,13.6,13.54,63.85,13.54,clear,False,False,summer
2015-06-09,33255,12.04,11.31,59.19,21.02,few clouds,False,False,summer
2015-06-10,35707,13.98,13.81,57.83,21.96,few clouds,False,False,summer
2015-06-11,38808,16.81,16.69,63.1,20.42,clear,False,False,summer
2015-06-12,35172,18.75,18.75,69.58,12.21,clear,False,False,summer
2015-06-13,30298,17.46,17.46,77.35,18.33,cloudy,False,True,summer
2015-06-14,25235,14.85,14.85,78.5,13.15,partly cloudy,False,True,summer
2015-06-15,34558,14.27,14.27,64.71,16.88,few clouds,False,False,summer
2015-06-16,37923,17.04,16.9,58.54,8.12,clear,False,False,summer
2015-06-17,38591,19.65,19.65,65.54,21.92,clear,False,False,summer
2015-06-18,38687,17.88,17.88,57.25,18.08,clear,False,False,summer
2015-06-19,35966,16.35,16.35,58.54,16.02,few clouds,False,False,summer
2015-06-20,26295,16.65,16.65,74.81,9.75,partly cloudy,False,True,summer
2015-06-21,30393,17.46,17.46,62.69,23.04,partly cloudy,False,True,summer
2015-06-22,29557,14.69,14.69,70.85,20.92,few clouds,False,False,summer
2015-06-23,37472,15.81,15.81,60.44,14.1,partly cloudy,False,False,summer
2015-06-24,38940,18.62,18.44,57.21,16.08,clear,False,False,summer
2015-06-25,38673,19.65,19.58,56.98,13.54,clear,False,False,summer
2015-06-26,37019,20.6,20.6,55.25,15.92,clear,False,False,summer
2015-06-27,36581,19.54,19.21,57.35,17.0,clear,False,True,summer
2015-06-28,25706,19.12,19.12,64.25,15.33,few clouds,False,True,summer
2015-06-29,39082,20.58,20.46,54.65,13.42,clear,False,False,summer
2015-06-30,43326,22.38,22.0,50.35,14.9,clear,False,False,summer
2015-07-01,42641,27.38,27.44,50.98,17.31,clear,False,False,summer
2015-07-02,38262,22.29,22.29,64.56,15.21,clear,False,False,summer
2015-07-03,39611,19.92,19.88,63.67,17.46,clear,False,False,summer
2015-07-04,38283,22.23,22.23,66.17,17.44,clear,False,True,summer
2015-07-05,29716,18.65,18.6,64.67,13.73,clear,False,True,summer
2015-07-06,38620,18.98,18.73,58.98,15.48,clear,False,False,summer
2015-07-07,37908,19.46,19.35,58.12,21.52,clear,False,False,summer
2015-07-08,41703,17.81,17.81,62.44,23.83,partly cloudy,False,False,summer
2015-07-09,72504,17.79,17.54,48.98,12.98,clear,False,False,summer
2015-07-10,42779,20.83,20.33,47.23,12.85,clear,False,False,summer
2015-07-11,42091,21.38,21.29,54.23,17.42,clear,False,True,summer
2015-07-12,23240,18.52,18.52,75.48,21.69,partly cloudy,False,True,summer
2015-07-13,26920,18.96,18.96,81.46,20.04,partly cloudy,False,False,summer
2015-07-14,35348,19.42,19.42,76.65,15.98,partly cloudy,False,False,summer
2015-07-15,34574,19.65,19.65,76.92,12.0,partly cloudy,False,False,summer
2015-07-16,39306,19.92,19.92,65.48,22.04,partly cloudy,False,False,summer
2015-07-17,38505,20.44,20.44,62.71,19.96,few clouds,False,False,summer
2015-07-18,38491,18.71,18.46,53.96,17.58,clear,False,True,summer
2015-07-19,36693,20.0,19.71,49.29,18.98,clear,False,True,summer
2015-07-20,27163,19.14,19.14,77.88,13.36,partly cloudy,False,False,summer
2015-07-21,40696,20.4,20.4,58.35,22.4,clear,False,False,summer
2015-07-22,37915,19.33,19.23,60.96,17.75,few clouds,False,False,summer
2015-07-23,39092,18.17,18.12,56.52,13.56,clear,False,False,summer
2015-07-24,16034,15.85,15.85,75.42,11.46,rain,False,False,summer
2015-07-25,32608,16.69,16.69,61.71,19.92,clear,False,True,summer
2015-07-26,12398,15.46,15.46,77.62,16.25,clear,False,True,summer
2015-07-27,31904,17.77,17.77,67.19,28.21,partly cloudy,False,False,summer
2015-07-28,36101,17.12,17.12,58.79,27.85,few clouds,False,False,summer
2015-07-29,36761,15.83,15.83,60.9,19.67,few clouds,False,False,summer
2015-07-30,36145,15.94,15.94,60.21,14.85,few clouds,False,False,summer
2015-07-31,36675,16.96,16.9,58.65,8.19,clear,False,False,summer
2015-08-01,43017,17.67,17.56,55.69,12.6,clear,False,True,summer
2015-08-02,43295,19.79,19.54,57.77,12.5,clear,False,True,summer
2015-08-03,35402,19.83,19.83,68.25,17.62,clear,False,False,summer
2015-08-04,37644,18.27,18.25,61.0,22.92,clear,False,False,summer
2015-08-05,38770,18.38,18.35,64.56,11.06,clear,False,False,summer
2015-08-06,63468,19.44,19.44,67.71,14.9,clear,False,False,summer
2015-08-07,39486,19.52,19.52,62.71,8.96,few clouds,False,False,summer
2015-08-08,38993,19.73,19.73,69.44,11.04,clear,False,True,summer
2015-08-09,40441,21.25,21.1,55.81,12.27,clear,False,True,summer
2015-08-10,35335,20.33,20.33,74.02,18.1,partly cloudy,False,False,summer
2015-08-11,34318,18.31,18.31,64.56,7.44,few clouds,False,False,summer
2015-08-12,36548,18.54,18.54,70.4,16.77,partly cloudy,False,False,summer
2015-08-13,25974,18.94,18.94,83.9,15.15,cloudy,False,False,summer
2015-08-14,25419,19.02,19.02,85.6,12.54,partly cloudy,False,False,summer
2015-08-15,33739,17.58,17.58,63.29,13.5,clear,False,True,summer
2015-08-16,30616,16.81,16.81,63.42,7.0,clear,False,True,summer
2015-08-17,35695,17.81,17.81,55.77,9.67,clear,False,False,summer
2015-08-18,34530,17.62,17.62,59.52,16.15,clear,False,False,summer
2015-08-19,31640,17.94,17.94,68.5,15.08,few clouds,False,False,summer
2015-08-20,32554,19.04,19.04,81.38,13.81,partly cloudy,False,False,summer
2015-08-21,35882,22.1,22.1,68.92,14.56,clear,False,False,summer
2015-08-22,44187,23.21,23.19,62.77,12.29,clear,False,True,summer
2015-08-23,27001,19.5,19.5,68.0,16.85,clear,False,True,summer
2015-08-24,17400,15.83,15.83,87.46,13.38,rain,False,False,summer
2015-08-25,28152,16.21,16.21,79.33,20.1,few clouds,False,False,summer
2015-08-26,23738,18.25,18.25,80.73,21.98,rain,False,False,summer
2015-08-27,30528,16.77,16.77,73.04,17.5,few clouds,False,False,summer
2015-08-28,32950,16.96,16.96,66.94,15.81,clear,False,False,summer
2015-08-29,22618,18.29,18.27,72.73,7.77,clear,False,True,summer
2015-08-30,24972,17.83,17.83,80.31,10.48,partly cloudy,False,True,summer
2015-08-31,9639,15.48,15.48,89.54,10.44,rain,True,False,summer
2015-09-01,25556,15.48,15.48,79.83,9.5,few clouds,False,False,autumn
2015-09-02,30180,14.69,14.69,73.25,10.23,few clouds,False,False,autumn
2015-09-03,30950,13.94,13.94,68.75,12.96,few clouds,False,False,autumn
2015-09-04,29709,14.29,14.29,65.33,13.12,few clouds,False,False,autumn
2015-09-05,22317,13.44,13.44,71.48,11.29,partly cloudy,False,True,autumn
2015-09-06,29429,14.12,13.85,64.71,9.81,clear,False,True,autumn
2015-09-07,31692,14.33,14.33,72.17,9.81,clear,False,False,autumn
2015-09-08,32781,14.15,14.15,73.38,8.38,partly cloudy,False,False,autumn
2015-09-09,33116,15.81,15.81,71.65,14.08,partly cloudy,False,False,autumn
2015-09-10,35734,16.19,16.19,71.83,15.0,clear,False,False,autumn
2015-09-11,33190,16.57,16.57,71.95,16.84,clear,False,False,autumn
2015-09-12,27023,18.28,18.28,63.81,17.53,few clouds,False,True,autumn
2015-09-13,26166,14.02,14.02,73.0,10.96,clear,False,True,autumn
2015-09-14,25811,14.5,14.5,78.77,18.62,rain,False,False,autumn
2015-09-15,28066,14.25,14.25,74.96,18.0,few clouds,False,False,autumn
2015-09-16,18653,13.75,13.75,89.67,13.42,rain,False,False,autumn
2015-09-17,32075,14.79,14.79,72.75,16.69,few clouds,False,False,autumn
2015-09-18,29829,15.06,15.06,78.4,9.5,few clouds,False,False,autumn
2015-09-19,31826,15.2,15.2,70.96,6.98,clear,False,True,autumn
2015-09-20,31141,15.42,15.42,73.67,11.35,clear,False,True,autumn
2015-09-21,23676,14.71,14.71,83.56,13.46,few clouds,False,False,autumn
2015-09-22,20434,12.42,12.42,83.15,12.56,clear,False,False,autumn
2015-09-23,33977,14.12,13.92,71.46,18.29,few clouds,False,False,autumn
2015-09-24,29396,15.58,15.58,71.69,19.94,few clouds,False,False,autumn
2015-09-25,34783,13.73,13.73,67.52,10.73,clear,False,False,autumn
2015-09-26,32636,13.19,13.17,68.94,8.5,clear,False,True,autumn
2015-09-27,29817,13.65,13.58,72.58,11.65,clear,False,True,autumn
2015-09-28,33138,13.98,13.98,74.19,14.92,clear,False,False,autumn
2015-09-29,34436,14.75,14.75,70.1,16.35,clear,False,False,autumn
2015-09-30,34941,14.31,14.31,68.17,17.02,clear,False,False,autumn
2015-10-01,34562,14.25,14.25,71.88,15.77,clear,False,False,autumn
2015-10-02,35503,13.69,13.69,73.31,10.73,clear,False,False,autumn
2015-10-03,28956,12.67,12.67,81.23,5.71,partly cloudy,False,True,autumn
2015-10-04,29884,13.33,13.1,72.83,9.85,clear,False,True,autumn
2015-10-05,20741,15.9,15.9,87.94,13.75,rain,False,False,autumn
2015-10-06,25892,16.65,16.65,87.23,12.42,rain,False,False,autumn
2015-10-07,28629,14.88,14.88,81.94,19.08,partly cloudy,False,False,autumn
2015-10-08,33676,12.4,11.81,72.83,8.42,clear,False,False,autumn
2015-10-09,32006,12.57,12.5,76.76,6.91,clear,False,False,autumn
2015-10-10,29416,13.0,12.98,81.31,11.12,few clouds,False,True,autumn
2015-10-11,27796,12.29,12.04,72.56,13.21,clear,False,True,autumn
2015-10-12,31292,11.27,10.96,70.08,10.0,partly cloudy,False,False,autumn
2015-10-13,20114,10.58,9.42,73.42,14.53,clear,False,False,autumn
2015-10-14,30579,10.48,9.81,75.04,13.5,few clouds,False,False,autumn
2015-10-15,30874,11.23,10.56,77.88,13.15,few clouds,False,False,autumn
2015-10-16,30075,12.5,12.5,78.56,16.48,partly cloudy,False,False,autumn
2015-10-17,24327,12.06,12.06,76.75,13.75,partly cloudy,False,True,autumn
2015-10-18,23070,13.04,13.04,79.73,9.15,partly cloudy,False,True,autumn
2015-10-19,29952,12.73,12.73,79.19,7.38,partly cloudy,False,False,autumn
2015-10-20,32718,11.54,11.25,75.52,8.02,few clouds,False,False,autumn
2015-10-21,18922,12.5,12.29,88.44,15.52,rain,False,False,autumn
2015-10-22,30326,13.98,13.98,69.92,16.92,partly cloudy,False,False,autumn
2015-10-23,30273,12.88,12.88,65.5,7.52,cloudy,False,False,autumn
2015-10-24,16876,12.73,12.52,77.75,10.79,rain,False,True,autumn
2015-10-25,23133,9.0,7.83,75.7,8.51,clear,False,True,autumn
2015-10-26,30364,11.71,11.0,85.92,13.56,partly cloudy,False,False,autumn
2015-10-27,32436,14.4,14.4,84.96,12.23,clear,False,False,autumn
2015-10-28,23881,13.58,13.58,84.77,10.88,rain,False,False,autumn
2015-10-29,27339,13.42,13.27,87.79,13.4,few clouds,False,False,autumn
2015-10-30,23970,14.69,14.69,82.04,13.58,clear,False,False,autumn
2015-10-31,27464,12.38,12.38,87.9,9.75,clear,False,True,autumn
2015-11-01,22848,9.21,8.85,97.69,5.21,cloudy,False,True,autumn
2015-11-02,28033,10.5,10.04,95.0,9.17,partly cloudy,False,False,autumn
2015-11-03,30710,11.9,11.71,88.62,9.04,partly cloudy,False,False,autumn
2015-11-04,23462,13.48,13.48,88.54,8.4,few clouds,False,False,autumn
2015-11-05,24503,15.17,15.17,87.44,14.33,partly cloudy,False,False,autumn
2015-11-06,25431,16.23,16.23,84.81,18.12,partly cloudy,False,False,autumn
2015-11-07,14881,15.77,15.77,83.65,22.9,rain,False,True,autumn
2015-11-08,18754,14.17,14.06,85.48,16.29,partly cloudy,False,True,autumn
2015-11-09,28474,13.88,13.88,73.98,27.04,partly cloudy,False,False,autumn
2015-11-10,29206,15.75,15.75,81.48,22.94,partly cloudy,False,False,autumn
2015-11-11,29899,14.77,14.77,71.71,20.33,partly cloudy,False,False,autumn
2015-11-12,28962,14.25,14.25,81.19,17.23,few clouds,False,False,autumn
2015-11-13,25252,10.67,8.83,66.0,27.94,clear,False,False,autumn
2015-11-14,8898,11.25,9.79,81.29,23.33,rain,False,True,autumn
2015-11-15,17594,15.52,15.52,72.48,34.06,partly cloudy,False,True,autumn
2015-11-16,26507,13.65,13.65,73.62,21.88,few clouds,False,False,autumn
2015-11-17,22768,14.77,14.77,77.39,29.2,rain,False,False,autumn
2015-11-18,25926,14.03,14.03,69.5,31.67,few clouds,False,False,autumn
2015-11-19,23695,11.58,11.19,80.0,21.52,rain,False,False,autumn
2015-11-20,25788,9.06,6.1,67.5,22.31,few clouds,False,False,autumn
2015-11-21,12751,4.38,-0.38,68.02,26.25,clear,False,True,autumn
2015-11-22,13118,3.52,0.79,74.67,10.67,clear,False,True,autumn
2015-11-23,23908,5.04,2.73,74.96,11.15,clear,False,False,autumn
2015-11-24,21175,9.04,6.23,83.71,19.92,rain,False,False,autumn
2015-11-25,26000,8.94,6.94,76.67,16.17,few clouds,False,False,autumn
2015-11-26,26626,9.4,8.52,86.31,7.54,partly cloudy,False,False,autumn
2015-11-27,23517,11.29,10.54,83.67,20.73,partly cloudy,False,False,autumn
2015-11-28,16336,8.12,5.35,69.81,27.25,clear,False,True,autumn
2015-11-29,11392,12.04,12.04,72.04,34.08,partly cloudy,False,True,autumn
2015-11-30,20918,12.02,11.48,77.52,26.07,partly cloudy,False,False,autumn
2015-12-01,26559,13.04,12.98,74.31,20.25,partly cloudy,False,False,winter
2015-12-02,27789,13.02,13.02,72.48,20.75,few clouds,False,False,winter
2015-12-03,25899,12.92,12.92,76.94,21.12,few clouds,False,False,winter
2015-12-04,25956,11.04,9.98,70.27,25.06,few clouds,False,False,winter
2015-12-05,16511,12.65,12.65,66.27,36.83,few clouds,False,True,winter
2015-12-06,15478,13.44,13.44,80.27,23.15,partly cloudy,False,True,winter
2015-12-07,25734,13.31,13.31,81.54,14.48,partly cloudy,False,False,winter
2015-12-08,23430,12.27,11.71,73.75,20.75,clear,False,False,winter
2015-12-09,27562,9.58,8.46,73.9,18.27,clear,False,False,winter
2015-12-10,23115,11.54,11.38,77.9,22.44,partly cloudy,False,False,winter
2015-12-11,23259,10.08,8.88,76.04,20.38,few clouds,False,False,winter
2015-12-12,15815,11.68,11.2,73.08,23.38,partly cloudy,False,True,winter
2015-12-13,12291,8.44,6.94,91.35,10.25,rain,False,True,winter
2015-12-14,23835,9.21,7.73,84.98,9.73,partly cloudy,False,False,winter
2015-12-15,20201,11.46,11.12,92.25,10.71,partly cloudy,False,False,winter
2015-12-16,25558,14.48,14.48,81.69,20.46,partly cloudy,False,False,winter
2015-12-17,25804,14.31,14.31,72.46,18.94,clear,False,False,winter
2015-12-18,25730,13.1,13.1,79.04,17.19,few clouds,False,False,winter
2015-12-19,18754,15.38,15.38,74.54,22.33,clear,False,True,winter
2015-12-20,13060,12.77,12.54,74.29,20.38,clear,False,True,winter
2015-12-21,18136,10.88,9.69,77.54,22.6,clear,False,False,winter
2015-12-22,17458,14.19,14.19,80.67,31.4,rain,False,False,winter
2015-12-23,18451,11.35,11.08,69.04,23.17,few clouds,False,False,winter
2015-12-24,8908,10.92,9.9,68.31,25.56,clear,False,False,winter
2015-12-25,22423,11.27,10.35,79.44,18.04,rain,True,False,winter
2015-12-26,10230,14.73,14.73,74.08,27.42,partly cloudy,False,True,winter
2015-12-27,9378,14.33,14.33,81.15,22.0,partly cloudy,False,True,winter
2015-12-28,13732,11.73,11.56,73.42,15.04,clear,True,False,winter
2015-12-29,15592,11.75,11.58,74.52,17.21,few clouds,False,False,winter
2015-12-30,12301,12.58,12.54,69.38,25.08,rain,False,False,winter
2015-12-31,13889,9.52,7.23,69.31,23.4,few clouds,False,False,winter
2016-01-01,9797,6.5,3.73,82.5,16.73,clear,True,False,winter
2016-01-02,7195,10.5,9.4,87.02,21.6,rain,False,True,winter
2016-01-03,4869,8.65,6.35,83.5,16.19,rain,False,True,winter
2016-01-04,20533,8.88,7.04,82.56,12.5,few clouds,False,False,winter
2016-01-05,22805,8.98,7.9,85.67,8.44,few clouds,False,False,winter
2016-01-06,23038,7.04,5.96,90.29,6.54,partly cloudy,False,False,winter
